CATEGORY,START_TIME,ROAD,DEPARTMENT,RESPONSIBILITY,YEAR,SOURCE_YEAR,DELTA_TIME,DELTA_MINUTES,TIME_DIFF,INDEX,SEASON,SEASON_INDEX,MONTH,LAMBDA_DYNAMIC,LAMBDA0,LAMBDA1,LAMBDA_MONTH,SPIKE_FLAG,TRANSITION_FLAG,FREIGHT_COUNT,FREIGHT_TIMEOUT,PASSENGER_COUNT,PASSENGER_TIMEOUT,COMMUTER_COUNT,COMMUTER_TIMEOUT,ENTITY_TYPE
,2025-01-01 01:00:38.990757312,Южно-Уральская,,,2025,2024,0 days 00:00:00,0.0,0.0,0.0,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-01 10:10:35.326401798,Южно-Уральская,,,2025,2024,0 days 09:09:56.335644486,549.9389274081,549.9389274081,0.0028169014084507044,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-01 22:27:45.271013964,Южно-Уральская,,,2025,2024,0 days 21:27:06.280256652,1287.1046709442,737.1657435361001,0.005633802816901409,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-02 09:45:05.257993584,Южно-Уральская,,,2025,2024,1 days 08:44:26.267236272,1964.4377872712,677.333116327,0.008450704225352112,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-03 23:11:21.766456122,Южно-Уральская,,,2025,2024,2 days 22:10:42.775698810,4210.7129283135,2246.2751410422998,0.011267605633802818,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-04 10:51:11.656666422,Южно-Уральская,,,2025,2024,3 days 09:50:32.665909110,4910.5444318185,699.831503505,0.014084507042253521,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-07 21:22:53.817627024,Южно-Уральская,,,2025,2024,6 days 20:22:14.826869712,9862.2471144952,4951.7026826767,0.016901408450704224,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-13 16:44:23.370172806,Южно-Уральская,,,2025,2024,12 days 15:43:44.379415494,18223.7396569249,8361.4925424297,0.01971830985915493,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-14 02:45:49.265474520,Южно-Уральская,,,2025,2024,13 days 01:45:10.274717208,18825.1712452868,601.431588361902,0.022535211267605635,Зима,1,1,0.0006334806240957,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,0,,,,,,,road
,2025-01-14 20:28:21.260232720,Южно-Уральская,,,2025,2024,13 days 19:27:42.269475408,19887.704491256798,1062.5332459699966,0.02535211267605634,Зима,1,1,0.0006690665334450712,0.0006334806240957,0.0019004418722870999,27.36636296093536,0,1,,,,,,,road
